Глубина манометра,Dшт,Рзаб,Pлин,Руст.1,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит кон нестабильный,Нэф,Рпл. Тек (Карноухов),Pсб,Ro_c,Удельная плотность газа ,КГФ
"3668,5","14,29",318,"97,2705637149013",205,"95,5234838709676",66,"46,9","104,643","46,7154325053995","608,775917926566","102,942936825054","3,22636792656588","625,486782941199","161,1","72,5398","49,7","88,9","782,53","0,66",132
"3424,5","6,35","316,1","101,819504273504","219,87525","101,922258064516","24,2","43,09","106,2","23,6625760683761","128,365641025641","39,7413179487179","0,6","136,815245221539","68,9","44,2","50,7","101,8",780,"0,648",241
"3424,5","9,53","281,5","103,865199240987","201,63675","103,971612903226","35,5","43,09","106,4","36,5582314990512","244,578709677419","67,5829070208728","1,39802220113852","259,198290488235","120,4","44,2","50,7","103,6",780,"0,648",216
"3424,5","11,11","257,9","103,06488372093","182,385","103,451290322581","42,3","43,09","106,47","42,6324778012686","295,81310782241","71,2940359408034","2,18344841437632","311,23619124482","123,9","44,2","50,7","102,6",792,"0,648",191
"3424,5","12,7","236,5","104,280881057269","163,13325","104,341290322581","47,8","43,09","106,4","48,0159052863436","330,504691629956","74,5858524229075","2,50087290748899","346,640112381938","126,4","44,2","50,7","103,9",785,"0,648",177
"3424,5","14,3","221,2","104,428843441467","149,961","104,622105263158","50,6","43,09","106,7","50,5755373765868","346,704076163611","73,1218138222849","2,550217348378","362,522874710719","121,4","44,2","50,7",104,777,"0,648",164
3437,"7,5","305,56","100,8",215,"99,7",40,26,"106,5","25,9","162,152","45,4","0,6","172,04072",79,"44,2","48,6","99,8",782,"0,684",219
3437,"7,94","298,69","100,6",209,"100,6",48,"27,8","106,6","28,5","189,82","52,8",1,"201,32084","93,1","44,2","48,6","99,8",782,"0,684",218
3437,"9,53","278,23","100,6",193,"100,6",54,"35,1","106,6","36,3","250,427","63,9","1,5","264,34592","110,8","44,2","48,6","100,1",782,"0,684",200
3437,"11,11","256,21","101,2",173,"101,2",54,"40,9","106,5",41,"305,587",63,"1,7","319,3101","115,5","44,2","48,6","100,1",782,"0,684",161
3437,"12,7","234,19","101,3",154,"101,6",56,"45,6","106,4","46,2","344,288",69,"0,9","359,3171","113,2","44,2","48,6","100,3",782,"0,684",157
3437,"14,29","216,9","101,4",138,"100,2",57,"49,3","106,43","49,7","360,232","71,1","0,8","375,71838","116,8","44,2","48,6","100,7",782,"0,684",154
3440,"7,94",174,"92,0526897987506",163,"90,945",44,"25,6","102,55","25,9427779319917","145,678507980569","33,9399424011103","0,239244496877169","154,323250554629","60,9","44,2","52,077037037037",90,"770,1","0,57",180
3440,"7,94","228,46","92,5879348370926",164,"92,642",42,"24,8","102,507","25,8076115288221","145,723458646617","33,6297669172932","0,23698969924812","154,28919727015","60,1","44,2","52,077037037037","90,4","770,1","0,57",178
3440,"7,94","228,1","92,6323398762964",163,"94,154",43,"26,6","102,068","26,2389237470214","144,7711891516","33,8491383866481","0,237654798331015","153,392802353477","59,8","44,2","52,077037037037","90,7","770,1","0,57",180
"3277,8","6,35","382,5","101,9","288,77625","104,1","26,5","43,09","106,2","25,9","168,591","48,3","0,8","178,86038","116,8","44,5","52,7","101,5",781,"0,672",224
"3277,8","9,53","373,7","103,8","282,69675","103,5",39,"43,09","106,4","40,1","354,224","89,8","3,2","373,31868","82,6","44,5","52,7","101,5","787,31","0,672",199
"3277,8","11,11","365,7","103,6","271,551","102,9","45,3","43,09","106,47","46,1","460,406","117,3","0,6","485,34458","152,8","44,5","52,7","103,2",790,"0,672",201
"3277,8","12,7","354,5","104,1","254,32575","103,8","50,3","43,09","106,4","50,5","569,067","138,4","1,6","598,49244","196,5","44,5","52,7","102,7",787,"0,672",191
